English,Vietnamese,IPA,POS,Example_EN,Example_VI,Image
book,sách,/bʊk/,noun,I read a book every night.,Tôi đọc một cuốn sách mỗi tối.,images/book.png
run,chạy,/rʌn/,verb,She can run very fast.,Cô ấy có thể chạy rất nhanh.,images/run.png
school,trường học,/skuːl/,noun,The school is near my house.,Trường học gần nhà tôi.,images/school.png
happy,vui vẻ,/ˈhæpi/,adj,He looks very happy today.,Hôm nay anh ấy trông rất vui.,images/happy.png
quickly,nhanh chóng,/ˈkwɪkli/,adv,She finished her homework quickly.,Cô ấy hoàn thành bài tập nhanh chóng.,images/quickly.png
computer,máy tính,/kəmˈpjuːtər/,noun,I use my computer for work.,Tôi dùng máy tính cho công việc.,images/computer.png
eat,ăn,/iːt/,verb,They eat lunch at noon.,Họ ăn trưa vào buổi trưa.,images/eat.png
city,thành phố,/ˈsɪti/,noun,Hanoi is a big city.,Hà Nội là một thành phố lớn.,images/city.png
apple,táo,/ˈæpl/,noun,She bought an apple.,Cô ấy đã mua một quả táo.,https://png.pngtree.com/png-clipart/20190614/original/pngtree-vector-illustration-of-fresh-red-apple-with-single-leaf-png-image_3714100.jpg
cat,mèo,/kæt/,noun,The cat is sleeping.,Con mèo đang ngủ.,images/cat.png
water,nước,/ˈwɔːtər/,noun,"Drink some water, please.",Làm ơn uống chút nước.,images/water.png
friend,bạn bè,/frend/,noun,He is my best friend.,Anh ấy là bạn thân của tôi.,images/friend.png
write,viết,/raɪt/,verb,Please write your name here.,Hãy viết tên bạn ở đây.,images/write.png
read,đọc,/riːd/,verb,She likes to read novels.,Cô ấy thích đọc tiểu thuyết.,images/read.png
good,tốt,/ɡʊd/,adj,This is a good idea.,Đây là một ý tưởng tốt.,images/good.png
bad,"tệ, xấu",/bæd/,adj,Smoking is bad for your health.,Hút thuốc có hại cho sức khỏe.,images/bad.png
bike,xe,/baɪk/,noun,He goes to school by bike.,Anh ấy đi học bằng xe đạp.,images/bike.png
train,tàu hỏa,/treɪn/,noun,The train arrives at 8 a.m.,Tàu đến lúc 8 giờ sáng.,images/train.png
boy,cậu bé,/bɔɪ/,noun,The boy is playing football.,Cậu bé đang chơi bóng đá.,images/boy.png
girl,cô bé,/ɡɜːrl/,noun,The girl is reading a book.,Cô bé đang đọc sách.,images/girl.png
child,đứa trẻ,/tʃaɪld/,noun,That child is very smart.,Đứa trẻ đó rất thông minh.,images/child.png
family,gia đình,/ˈfæməli/,noun,My family is big.,Gia đình tôi đông người.,images/family.png
mother,mẹ,/ˈmʌðər/,noun,My mother is a teacher.,Mẹ tôi là giáo viên.,images/mother.png
father,cha,/ˈfɑːðər/,noun,His father works in a bank.,Cha anh ấy làm việc ở ngân hàng.,images/father.png
sister,chị gái / em gái,/ˈsɪstər/,noun,I have one sister.,Tôi có một chị gái.,images/sister.png
brother,anh trai / em trai,/ˈbrʌðər/,noun,His brother is tall.,Anh trai anh ấy rất cao.,images/brother.png
baby,em bé,/ˈbeɪbi/,noun,The baby is crying.,Em bé đang khóc.,images/baby.png
food,thức ăn,/fuːd/,noun,I like Chinese food.,Tôi thích đồ ăn Trung Quốc.,images/food.png
drink,đồ uống,/drɪŋk/,noun/verb,Can I have a drink?,Tôi có thể uống chút gì không?,images/drink.png
rice,"cơm, gạo",/raɪs/,noun,We eat rice every day.,Chúng tôi ăn cơm mỗi ngày.,images/rice.png
fish,cá,/fɪʃ/,noun,He caught a big fish.,Anh ấy bắt được một con cá lớn.,images/fish.png
chicken,gà,/ˈtʃɪkɪn/,noun,They had chicken for dinner.,Họ ăn gà cho bữa tối.,images/chicken.png
egg,trứng,/eɡ/,noun,I want a boiled egg.,Tôi muốn một quả trứng luộc.,https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDI0LTA5L3Jhd3BpeGVsX29mZmljZV80OF9waG90b19vZl9hX2Jhc2tldF9vZl9jaGlja2VuX2VnZ3NfaXNvbGF0ZWRfd18wY2ZjN2Y5MS1jOWZkLTQwNGMtYWEzYy1iYWMyNTZmNmIxMmMucG5n.png
salt,muối,/sɔːlt/,noun,Add some salt to the soup.,Thêm chút muối vào canh.,https://static.vecteezy.com/system/resources/previews/047/087/042/non_2x/salt-in-a-bowl-on-transparent-background-free-png.png
tea,trà,/tiː/,noun,Would you like some tea?,Bạn có muốn uống trà không?,images/tea.png
orange,cam,/ˈɒrɪndʒ/,noun,She drank orange juice.,Cô ấy uống nước cam.,images/orange.png
banana,chuối,/bəˈnɑːnə/,noun,Monkeys like bananas.,Khỉ thích ăn chuối.,images/banana.png
mango,xoài,/ˈmæŋɡoʊ/,noun,This mango is sweet.,Quả xoài này ngọt.,images/mango.png
pineapple,dứa,/ˈpaɪnæpl/,noun,Pineapple juice is tasty.,Nước dứa rất ngon.,images/pineapple.png
chair,ghế,/tʃer/,noun,Please sit on the chair.,Mời ngồi vào ghế.,
table,bàn,/ˈteɪbl/,noun,The table is round.,Cái bàn hình tròn.,
bed,giường,/bed/,noun,I sleep in my bed.,Tôi ngủ trên giường.,
door,cửa,/dɔːr/,noun,"Close the door, please.",Làm ơn đóng cửa lại.,
window,cửa sổ,/ˈwɪndoʊ/,noun,Open the window.,Mở cửa sổ ra.,
pen,bút mực,/pen/,noun,I need a new pen.,Tôi cần một cây bút mới.,
pencil,bút chì,/ˈpensl/,noun,Draw with a pencil.,Hãy vẽ bằng bút chì.,
paper,giấy,/ˈpeɪpər/,noun,He wrote on the paper.,Anh ấy viết trên tờ giấy.,
bookcase,giá sách,/ˈbʊkkeɪs/,noun,The bookcase is full.,Giá sách đầy ắp.,
bag,túi,/bæɡ/,noun,This bag is heavy.,Cái túi này nặng.,
clock,đồng hồ treo tường,/klɒk/,noun,The clock shows 3 o’clock.,Đồng hồ chỉ 3 giờ.,
watch,đồng hồ đeo tay,/wɒtʃ/,noun,My watch is expensive.,Đồng hồ của tôi đắt tiền.,
shirt,áo sơ mi,/ʃɜːrt/,noun,He wears a white shirt.,Anh ấy mặc áo sơ mi trắng.,
dress,váy,/dres/,noun,She is wearing a red dress.,Cô ấy mặc váy đỏ.,
shoes,giày,/ʃuːz/,noun,These shoes are new.,Đôi giày này mới.,
hat,mũ,/hæt/,noun,He wears a hat.,Anh ấy đội mũ.,
coat,áo khoác,/koʊt/,noun,"Wear your coat, it’s cold.","Mặc áo khoác vào, trời lạnh lắm.",
trousers,quần dài,/ˈtraʊzərz/,noun,He bought new trousers.,Anh ấy mua quần mới.,
skirt,váy ngắn,/skɜːrt/,noun,The skirt is blue.,Chiếc váy màu xanh.,
sun,mặt trời,/sʌn/,noun,The sun is shining.,Mặt trời đang chiếu sáng.,
moon,mặt trăng,/muːn/,noun,The moon is bright tonight.,Trăng sáng đêm nay.,
phone,điện thoại,/foʊn/,noun,My phone is ringing.,Điện thoại của tôi đang reo.,
work,công việc,/wɜːrk/,noun/verb,I work in an office.,Tôi làm việc ở văn phòng.,
job,nghề nghiệp,/dʒɒb/,noun,He has a new job.,Anh ấy có một công việc mới.,
office,văn phòng,/ˈɒfɪs/,noun,The office is on the 2nd floor.,Văn phòng ở tầng 2.,
company,công ty,/ˈkʌmpəni/,noun,She works for a big company.,Cô ấy làm việc cho một công ty lớn.,
boss,sếp,/bɒs/,noun,My boss is strict.,Sếp của tôi rất nghiêm khắc.,
worker,công nhân,/ˈwɜːrkər/,noun,The workers are on strike.,Công nhân đang đình công.,
money,tiền,/ˈmʌni/,noun,I need some money.,Tôi cần một ít tiền.,
bank,ngân hàng,/bæŋk/,noun,He works at a bank.,Anh ấy làm ở ngân hàng.,
shop,cửa hàng,/ʃɒp/,noun,This shop sells clothes.,Cửa hàng này bán quần áo.,
market,chợ,/ˈmɑːrkɪt/,noun,We buy vegetables at the market.,Chúng tôi mua rau ở chợ.,
price,giá,/praɪs/,noun,The price is too high.,Giá quá cao.,
cheap,rẻ,/tʃiːp/,adj,This shirt is cheap.,Cái áo này rẻ.,
